zone_id,year,week_of_year,season_index,week_of_season,risk_tier_index,radius_km,rain_norm_mean,rain_norm_p95,traffic_norm_mean,outage_active_ratio,event_flag_active_ratio,aqi_norm_mean,recent_4week_disruption_days,prev_4week_zdi_mean,prev_4week_zdi_p95,seasonal_disruption_days
BLR-02,2022,37,3,11,2,2.5,75.895,99.737,39.788,0.03293,0.03819,16.099,1.248,50.54,52.993,1.895
BLR-03,2022,37,3,11,2,2.5,64.19,81.963,50.927,0.03821,0.02719,17.64,1.405,51.388,60.465,1.001
BLR-04,2022,37,3,11,1,2.5,73.357,94.767,49.009,0.02633,0.02959,15.333,1.237,48.826,53.471,1.573
BLR-05,2022,37,3,11,0,2.5,66.601,84.68,43.119,0.02316,0.02219,16.474,1.542,54.792,70.819,1.431
BLR-06,2022,37,3,11,1,2.5,64.256,81.236,44.301,0.03802,0.00339,23.47,1.593,56.358,67.307,1.221
BLR-01,2022,38,3,12,2,2.5,76.266,95.142,47.052,0.03369,0.00253,17.553,1.465,52.587,56.625,1.483
BLR-02,2022,38,3,12,2,2.5,67.306,80.826,36.859,0.03109,0.00428,18.375,1.404,50.75,54.695,0.965
BLR-03,2022,38,3,12,2,2.5,67.401,92.872,49.243,0.02772,0.03897,15.664,1.251,51.615,61.357,1.559
BLR-04,2022,38,3,12,1,2.5,72.885,95.394,42.061,0.03152,0.01964,15.626,1.286,50.619,55.071,1.165
BLR-05,2022,38,3,12,0,2.5,56.601,76.423,36.177,0.026,0.02727,17.861,1.468,53.939,70.283,0.936
BLR-06,2022,38,3,12,1,2.5,64.101,88.423,32.147,0.02999,0.01637,20.233,1.43,51.064,56.877,0.969
BLR-01,2022,39,3,13,2,2.5,89.406,100.0,53.686,0.03513,0.01603,20.379,1.463,52.765,59.438,1.452
BLR-02,2022,39,3,13,2,2.5,78.897,100.0,41.204,0.04038,0.0034,17.235,1.313,49.527,53.882,1.379
BLR-03,2022,39,3,13,2,2.5,70.333,93.881,37.963,0.03361,0.03863,17.909,1.246,53.283,63.172,1.377
BLR-04,2022,39,3,13,1,2.5,62.196,79.237,38.069,0.03177,0.03089,13.898,1.307,50.357,57.786,1.249
BLR-05,2022,39,3,13,0,2.5,66.895,93.827,40.037,0.02124,0.00567,15.394,1.383,51.328,65.031,1.281
BLR-06,2022,39,3,13,1,2.5,66.274,81.678,36.448,0.0223,0.03241,20.649,1.323,46.158,53.607,1.127
BLR-01,2022,40,3,14,2,2.5,73.142,86.025,47.16,0.04417,0.02239,19.897,1.481,53.626,60.115,1.706
BLR-02,2022,40,3,14,2,2.5,81.141,94.693,46.059,0.03278,0.02369,17.084,1.36,48.599,53.771,1.046
BLR-03,2022,40,3,14,2,2.5,82.763,96.128,56.661,0.09338,0.09422,15.124,1.347,53.69,61.112,1.653
BLR-04,2022,40,3,14,1,2.5,61.307,82.419,48.45,0.03412,0.03255,13.718,1.325,49.92,58.561,1.34
BLR-05,2022,40,3,14,0,2.5,62.699,85.181,42.885,0.02336,0.02043,16.251,1.248,44.467,53.055,1.5
BLR-06,2022,40,3,14,1,2.5,52.254,72.242,20.575,0.02281,0.01959,18.39,1.291,45.53,50.991,1.116
BLR-01,2022,41,3,15,2,2.5,80.212,100.0,55.75,0.07948,0.10476,20.568,1.523,54.051,59.616,1.848
BLR-02,2022,41,3,15,2,2.5,71.743,91.42,46.726,0.03415,0.00673,17.198,1.321,50.112,54.487,1.314
BLR-03,2022,41,3,15,2,2.5,74.755,91.359,33.578,0.02583,0.0329,15.5,1.397,57.345,65.758,1.367
BLR-04,2022,41,3,15,1,2.5,68.043,96.03,37.193,0.02697,0.01799,15.278,1.332,50.539,58.714,1.298
BLR-05,2022,41,3,15,0,2.5,66.974,83.285,35.044,0.02766,0.02843,16.127,1.287,45.516,53.431,1.386
BLR-06,2022,41,3,15,1,2.5,65.115,84.812,46.923,0.05915,0.11631,21.326,1.108,42.093,48.02,1.448
BLR-01,2022,42,3,16,2,2.5,75.99,100.0,32.273,0.02754,0.03468,20.808,1.622,57.936,66.135,1.049
BLR-02,2022,42,3,16,2,2.5,69.89,90.283,37.185,0.03328,0.01075,14.733,1.176,48.146,52.146,1.23
BLR-03,2022,42,3,16,2,2.5,70.516,87.159,53.903,0.03155,0.03801,19.699,1.489,55.953,64.258,1.061
BLR-04,2022,42,3,16,1,2.5,65.097,76.237,36.473,0.02436,0.02138,14.247,1.263,48.829,59.645,1.596
BLR-05,2022,42,3,16,0,2.5,57.157,75.893,36.114,0.02865,0.01375,16.363,1.276,45.684,52.502,0.886
BLR-06,2022,42,3,16,1,2.5,72.053,82.065,37.809,0.02405,0.03832,19.328,1.165,44.59,54.111,1.184
BLR-01,2022,43,3,17,2,2.5,71.685,86.192,50.855,0.04308,0.01487,20.983,1.514,57.16,64.683,1.729
BLR-02,2022,43,3,17,2,2.5,67.763,77.783,34.933,0.02765,0.01907,16.163,1.242,49.391,55.63,1.242
BLR-03,2022,43,3,17,2,2.5,79.268,91.647,43.989,0.03266,0.00283,19.077,1.365,54.686,61.779,1.811
BLR-04,2022,43,3,17,1,2.5,69.474,81.871,33.069,0.02286,0.03972,14.517,1.371,46.453,55.651,1.074
BLR-05,2022,43,3,17,0,2.5,61.617,79.027,38.389,0.0322,0.02746,16.441,1.263,45.867,53.102,0.915
BLR-06,2022,43,3,17,1,2.5,73.076,85.593,41.034,0.02168,0.01108,15.773,1.219,45.237,54.021,1.022
BLR-01,2022,44,3,18,2,2.5,78.074,93.504,38.358,0.03519,0.02071,20.065,1.583,56.731,65.769,1.598
BLR-02,2022,44,3,18,2,2.5,70.067,89.059,42.694,0.03557,0.02376,22.544,1.208,48.881,55.872,1.303
BLR-03,2022,44,3,18,2,2.5,67.798,90.091,40.897,0.04409,0.03051,18.801,1.473,54.397,60.92,1.474
BLR-04,2022,44,3,18,1,2.5,77.834,96.953,51.902,0.0834,0.11024,17.117,1.327,46.694,54.388,1.645
BLR-05,2022,44,3,18,0,2.5,59.966,84.511,39.007,0.02281,0.02146,13.187,1.172,45.639,53.192,1.102
BLR-06,2022,44,3,18,1,2.5,66.541,77.584,31.618,0.02869,0.00345,13.218,1.192,46.072,53.513,1.501
BLR-01,2022,45,4,1,2,2.5,41.884,64.511,42.53,0.04406,0.00655,17.186,1.556,55.321,66.021,0.92
BLR-02,2022,45,4,1,2,2.5,35.922,61.878,30.325,0.02559,0.03086,22.941,1.272,48.177,56.104,1.069
BLR-03,2022,45,4,1,2,2.5,40.852,57.335,38.823,0.03634,0.01998,18.726,1.428,49.702,55.844,1.158
BLR-04,2022,45,4,1,1,2.5,30.968,41.761,38.961,0.02489,0.03452,16.047,1.403,51.356,60.813,1.243
BLR-05,2022,45,4,1,0,2.5,13.437,36.769,25.274,0.02144,0.01677,11.871,1.072,43.574,50.595,0.671
BLR-06,2022,45,4,1,1,2.5,17.071,30.299,31.184,0.03963,0.03217,15.977,1.289,47.042,52.211,0.742
BLR-01,2022,46,4,2,2,2.5,31.445,41.589,39.795,0.03628,0.00803,17.702,1.324,48.055,55.676,0.89
BLR-02,2022,46,4,2,2,2.5,35.56,61.768,31.25,0.0299,0.03042,24.711,1.211,44.777,55.173,1.142
BLR-03,2022,46,4,2,2,2.5,45.562,55.589,29.24,0.04198,0.02629,19.575,1.376,47.678,54.388,0.976
BLR-04,2022,46,4,2,1,2.5,48.998,71.808,44.494,0.03843,0.00372,19.168,1.389,47.575,55.158,0.884
BLR-05,2022,46,4,2,0,2.5,28.316,40.719,32.854,0.0165,0.0328,11.763,0.894,37.204,44.602,0.67
BLR-06,2022,46,4,2,1,2.5,25.719,48.332,40.274,0.02636,0.02941,17.076,1.112,40.035,41.035,1.167
BLR-01,2022,47,4,3,2,2.5,37.013,55.402,37.84,0.03572,0.01626,20.323,1.284,43.897,49.451,1.091
BLR-02,2022,47,4,3,2,2.5,40.009,64.884,41.489,0.02581,0.02788,24.814,1.189,41.136,51.817,1.075
BLR-03,2022,47,4,3,2,2.5,26.01,40.693,31.393,0.02562,0.03963,18.492,1.355,43.463,49.045,0.619
BLR-04,2022,47,4,3,1,2.5,31.094,41.309,31.821,0.03965,0.03321,21.956,1.212,46.164,54.693,1.07
BLR-05,2022,47,4,3,0,2.5,21.964,46.593,28.384,0.01629,0.00087,15.406,0.84,32.88,40.206,0.967
BLR-06,2022,47,4,3,1,2.5,29.131,47.429,34.529,0.03148,0.00672,18.826,1.108,36.019,38.977,0.836
BLR-01,2022,48,4,4,2,2.5,35.849,50.887,37.339,0.02569,0.03534,19.725,1.125,38.652,44.795,1.104
BLR-02,2022,48,4,4,2,2.5,39.509,51.979,38.049,0.04269,0.00798,21.184,1.147,37.536,48.611,0.545
BLR-03,2022,48,4,4,2,2.5,36.127,55.929,31.219,0.04325,0.01939,17.562,1.057,38.279,44.854,1.089
BLR-04,2022,48,4,4,1,2.5,38.263,49.317,29.883,0.03059,0.03966,22.206,1.211,43.444,51.435,0.888
BLR-05,2022,48,4,4,0,2.5,24.855,51.366,41.766,0.03493,0.00224,16.924,0.853,26.635,36.07,0.557
BLR-06,2022,48,4,4,1,2.5,32.103,52.769,31.547,0.03395,0.03225,19.588,1.061,31.116,37.425,0.409
BLR-01,2022,49,4,5,2,2.5,31.426,59.21,32.803,0.03484,0.03527,19.566,1.001,33.982,37.79,0.991
BLR-02,2022,49,4,5,2,2.5,34.781,61.303,34.106,0.02761,0.00806,20.504,0.958,33.725,44.316,0.696
BLR-03,2022,49,4,5,2,2.5,23.541,47.479,30.861,0.08289,0.15132,20.768,0.96,34.11,40.129,1.273
BLR-04,2022,49,4,5,1,2.5,38.028,62.281,45.52,0.03298,0.03843,23.958,1.021,31.302,36.642,0.537
BLR-05,2022,49,4,5,0,2.5,27.339,40.495,39.177,0.02877,0.01227,19.497,0.716,25.577,35.613,0.532
BLR-06,2022,49,4,5,1,2.5,45.538,56.121,37.011,0.03842,0.0241,21.096,0.788,28.144,35.152,0.743
BLR-01,2022,50,4,6,2,2.5,34.871,62.553,31.83,0.04271,0.00672,22.963,1.019,33.889,38.873,0.565
BLR-02,2022,50,4,6,2,2.5,34.566,45.786,37.82,0.02716,0.01027,22.928,0.864,32.295,41.976,0.338
BLR-03,2022,50,4,6,2,2.5,29.152,48.98,33.738,0.03459,0.00406,23.044,0.989,35.6,44.912,0.667
BLR-04,2022,50,4,6,1,2.5,32.839,48.576,29.712,0.02148,0.03807,23.704,0.845,35.143,39.503,0.529
BLR-05,2022,50,4,6,0,2.5,32.717,53.762,36.311,0.01562,0.01931,20.172,0.681,27.859,39.371,0.681
BLR-06,2022,50,4,6,1,2.5,31.074,53.623,37.07,0.0346,0.02888,20.611,0.789,31.361,36.779,0.92
BLR-01,2022,51,4,7,2,2.5,36.854,53.349,32.449,0.03089,0.0171,21.252,0.938,34.75,41.234,0.908
BLR-02,2022,51,4,7,2,2.5,34.356,59.544,36.52,0.03295,0.01233,19.715,0.663,31.23,39.213,1.004
BLR-03,2022,51,4,7,2,2.5,39.334,57.358,32.576,0.0343,0.01053,22.966,0.912,33.312,43.977,1.029
BLR-04,2022,51,4,7,1,2.5,34.728,54.474,36.855,0.03179,0.03883,18.974,0.756,33.716,37.609,0.676
BLR-05,2022,51,4,7,0,2.5,30.564,56.433,28.005,0.01658,0.01905,22.113,0.684,28.986,40.988,0.743
BLR-06,2022,51,4,7,1,2.5,26.328,38.493,25.654,0.02346,0.03029,25.755,0.727,32.542,37.471,0.583
BLR-01,2022,52,4,8,2,2.5,41.398,69.349,36.466,0.04168,0.02509,21.258,0.892,33.551,40.22,0.98
BLR-02,2022,52,4,8,2,2.5,30.74,45.711,37.256,0.04247,0.01833,21.036,0.646,30.939,39.369,0.777
BLR-03,2022,52,4,8,2,2.5,39.769,63.42,42.006,0.0435,0.03759,21.824,1.014,35.055,47.568,1.299
BLR-04,2022,52,4,8,1,2.5,25.004,43.744,33.978,0.02075,0.02436,19.105,0.657,32.973,39.114,0.483
BLR-05,2022,52,4,8,0,2.5,30.14,44.416,32.617,0.05395,0.15271,21.578,0.628,30.278,38.742,1.317
BLR-06,2022,52,4,8,1,2.5,39.864,52.283,41.2,0.02886,0.03897,24.755,0.664,32.383,35.471,1.064
BLR-01,2023,1,1,1,2,2.5,25.686,49.023,42.509,0.04234,0.03038,24.32,0.861,37.212,45.62,1.007
BLR-02,2023,1,1,1,2,2.5,30.711,56.539,40.702,0.02886,0.00116,25.022,0.704,29.355,36.398,1.037
BLR-03,2023,1,1,1,2,2.5,21.65,46.473,28.317,0.03771,0.02021,24.032,1.067,36.355,48.553,0.96
BLR-04,2023,1,1,1,1,2.5,23.479,39.775,27.743,0.03789,0.00654,21.153,0.556,34.632,39.799,0.873
BLR-05,2023,1,1,1,0,2.5,0.043,25.471,20.903,0.02855,0.0259,22.059,0.818,31.435,41.334,0.496
BLR-06,2023,1,1,1,1,2.5,31.193,52.845,33.293,0.02017,0.02405,25.074,0.828,32.867,34.728,1.234
BLR-01,2023,2,1,2,2,2.5,17.824,34.101,33.25,0.03433,0.01008,23.776,0.865,35.419,43.291,0.699
BLR-02,2023,2,1,2,2,2.5,16.955,33.692,22.873,0.03718,0.02589,25.628,0.789,29.558,36.05,0.891
BLR-03,2023,2,1,2,2,2.5,26.009,48.809,29.536,0.03098,0.03569,27.225,0.989,32.579,40.238,0.556
BLR-04,2023,2,1,2,1,2.5,10.866,33.119,25.049,0.03311,0.02885,24.157,0.64,28.626,33.679,0.682
BLR-05,2023,2,1,2,0,2.5,11.964,25.383,22.093,0.01945,0.02906,19.218,0.809,28.421,38.808,0.31
BLR-06,2023,2,1,2,1,2.5,24.489,50.266,23.452,0.02195,0.00725,26.426,0.95,32.49,36.58,0.342
BLR-01,2023,3,1,3,2,2.5,20.681,32.288,28.051,0.03988,0.01421,23.807,0.898,30.928,38.77,0.805
BLR-02,2023,3,1,3,2,2.5,27.019,52.614,29.358,0.04389,0.02334,30.124,0.927,28.317,38.327,0.832
BLR-03,2023,3,1,3,2,2.5,22.402,47.778,33.13,0.02901,0.00549,25.273,0.961,34.578,44.187,0.573
BLR-04,2023,3,1,3,1,2.5,15.769,34.545,21.102,0.02354,0.02524,24.581,0.678,25.911,30.812,0.932
BLR-05,2023,3,1,3,0,2.5,14.632,38.377,23.9,0.02729,0.00352,19.294,0.717,25.375,35.889,0.498
BLR-06,2023,3,1,3,1,2.5,19.812,30.065,36.248,0.03666,0.01289,27.394,0.806,30.487,35.443,0.524
BLR-01,2023,4,1,4,2,2.5,21.239,38.143,33.402,0.02834,0.02355,25.818,0.873,31.176,38.139,1.026
BLR-02,2023,4,1,4,2,2.5,16.418,44.336,40.393,0.04303,0.01371,28.668,0.884,28.71,35.692,0.574
BLR-03,2023,4,1,4,2,2.5,24.307,36.669,40.644,0.03679,0.02936,27.022,0.847,32.735,42.362,0.697
BLR-04,2023,4,1,4,1,2.5,17.73,28.605,37.073,0.03324,0.03979,24.779,0.743,23.157,27.29,0.433
BLR-05,2023,4,1,4,0,2.5,7.493,20.249,26.473,0.02761,0.02781,19.776,0.655,23.507,36.942,0.311
BLR-06,2023,4,1,4,1,2.5,25.362,37.25,38.744,0.02235,0.02875,27.691,0.791,31.543,35.616,0.84
BLR-01,2023,5,1,5,2,2.5,19.015,41.677,30.018,0.02579,0.01181,25.108,0.884,25.671,30.939,0.561
BLR-02,2023,5,1,5,2,2.5,16.82,41.854,24.615,0.07239,0.08018,28.314,0.833,29.325,40.592,1.058
BLR-03,2023,5,1,5,2,2.5,21.088,32.885,36.315,0.02579,0.00699,26.409,0.697,30.93,39.686,0.94
BLR-04,2023,5,1,5,1,2.5,18.095,43.431,28.557,0.02341,0.02653,23.803,0.73,22.445,26.699,0.327
BLR-05,2023,5,1,5,0,2.5,15.514,32.728,26.336,0.02044,0.03849,18.106,0.404,19.07,29.178,0.24
BLR-06,2023,5,1,5,1,2.5,25.021,36.077,36.624,0.02319,0.0377,24.874,0.735,30.208,35.694,0.385
BLR-01,2023,6,1,6,2,2.5,18.884,29.403,35.145,0.04177,0.02738,27.019,0.773,24.322,29.881,0.616
BLR-02,2023,6,1,6,2,2.5,27.479,43.136,34.625,0.03856,0.02818,28.508,0.839,31.118,45.285,0.549
BLR-03,2023,6,1,6,2,2.5,19.154,41.764,36.827,0.03823,0.00381,26.903,0.692,31.136,39.057,0.482
BLR-04,2023,6,1,6,1,2.5,1.373,12.355,21.065,0.02314,0.02574,26.737,0.594,23.924,27.705,0.3
BLR-05,2023,6,1,6,0,2.5,14.909,25.816,43.017,0.02787,0.00891,18.672,0.34,20.66,28.769,0.614
BLR-06,2023,6,1,6,1,2.5,22.055,34.191,27.561,0.03307,0.01989,26.86,0.523,28.657,34.594,0.634
BLR-01,2023,7,1,7,2,2.5,16.388,31.871,25.997,0.02914,0.02033,24.992,0.752,26.105,31.961,0.642
BLR-02,2023,7,1,7,2,2.5,15.623,36.778,32.679,0.03814,0.01893,28.147,0.753,31.538,40.329,0.503
BLR-03,2023,7,1,7,2,2.5,30.457,45.712,22.892,0.03904,0.02088,28.38,0.673,29.993,35.996,1.032
BLR-04,2023,7,1,7,1,2.5,24.451,37.827,36.163,0.02786,0.03721,23.154,0.498,20.653,24.581,0.584
BLR-05,2023,7,1,7,0,2.5,24.243,44.842,27.254,0.02401,0.03089,17.549,0.416,22.21,27.117,0.851
BLR-06,2023,7,1,7,1,2.5,31.392,56.491,37.137,0.03017,0.01932,27.701,0.596,28.62,32.738,0.651
BLR-01,2023,8,1,8,2,2.5,16.822,42.711,35.045,0.03269,0.02016,30.308,0.711,22.597,28.954,0.5
BLR-02,2023,8,1,8,2,2.5,29.476,41.877,32.983,0.039,0.01651,28.086,0.671,28.797,39.252,0.341
BLR-03,2023,8,1,8,2,2.5,30.803,44.419,30.761,0.03081,0.02497,26.582,0.788,30.385,35.591,0.727
BLR-04,2023,8,1,8,1,2.5,8.765,24.568,28.174,0.02704,0.00462,21.427,0.411,22.691,26.296,0.24
BLR-05,2023,8,1,8,0,2.5,16.675,41.926,26.514,0.02545,0.03233,20.591,0.504,22.58,27.032,0.484
BLR-06,2023,8,1,8,1,2.5,20.618,35.128,35.061,0.03381,0.03358,26.254,0.627,29.228,33.748,0.766
BLR-01,2023,9,1,9,2,2.5,29.648,55.215,27.736,0.03623,0.0297,29.888,0.58,23.132,30.747,0.644
BLR-02,2023,9,1,9,2,2.5,28.319,55.539,30.836,0.03125,0.03903,27.754,0.613,28.167,34.548,1.131
BLR-03,2023,9,1,9,2,2.5,30.738,57.145,27.322,0.03795,0.02819,27.088,0.795,30.789,37.705,0.618
BLR-04,2023,9,1,9,1,2.5,16.972,39.26,32.852,0.02348,0.00748,20.86,0.363,20.882,24.785,0.681
BLR-05,2023,9,1,9,0,2.5,10.022,25.972,25.902,0.0181,0.02839,22.618,0.547,23.215,28.853,0.629
BLR-06,2023,9,1,9,1,2.5,14.336,34.644,25.426,0.03568,0.01432,25.595,0.609,30.124,36.458,0.665
BLR-01,2023,10,1,10,2,2.5,16.569,28.224,33.407,0.02927,0.00885,28.391,0.601,26.495,33.795,0.922
BLR-02,2023,10,1,10,2,2.5,34.176,61.836,34.776,0.03838,0.00035,23.744,0.631,27.818,31.406,0.646
BLR-03,2023,10,1,10,2,2.5,20.829,47.316,27.517,0.03272,0.0378,25.783,0.715,30.791,38.236,0.519
BLR-04,2023,10,1,10,1,2.5,20.123,30.912,25.439,0.02385,0.03593,17.554,0.451,19.683,23.652,1.024
BLR-05,2023,10,1,10,0,2.5,16.206,38.272,30.557,0.0323,0.03094,22.2,0.644,21.954,29.24,0.552
BLR-06,2023,10,1,10,1,2.5,19.365,46.28,23.216,0.02308,0.02988,23.979,0.679,28.973,35.782,0.699
BLR-01,2023,11,1,11,2,2.5,15.668,29.766,28.061,0.03276,0.01035,26.817,0.677,26.146,33.444,0.602
BLR-02,2023,11,1,11,2,2.5,17.749,41.356,26.03,0.03902,0.02342,29.14,0.655,30.026,36.146,0.921
BLR-03,2023,11,1,11,2,2.5,31.743,49.621,38.825,0.03821,0.0158,24.011,0.724,30.321,40.123,0.98
BLR-04,2023,11,1,11,1,2.5,3.393,15.986,24.595,0.03828,0.02709,20.99,0.632,22.956,27.88,0.832
BLR-05,2023,11,1,11,0,2.5,11.105,21.196,27.89,0.02574,0.02387,24.351,0.629,22.623,31.109,0.029
BLR-06,2023,11,1,11,1,2.5,10.624,29.85,32.293,0.02442,0.00644,25.253,0.695,28.606,37.011,0.871
BLR-01,2023,12,1,12,2,2.5,31.284,59.181,24.793,0.03599,0.01845,26.983,0.667,27.122,36.005,1.028
BLR-02,2023,12,1,12,2,2.5,21.471,43.27,34.377,0.03739,0.004,30.214,0.76,31.381,39.055,0.796
BLR-03,2023,12,1,12,2,2.5,16.311,32.872,27.352,0.03357,0.01265,26.711,0.711,30.975,40.65,0.949
BLR-04,2023,12,1,12,1,2.5,19.729,42.922,28.707,0.02926,0.03512,21.415,0.694,18.765,22.012,0.63
BLR-05,2023,12,1,12,0,2.5,20.473,32.993,22.036,0.02026,0.02154,24.849,0.423,22.173,28.937,0.563
BLR-06,2023,12,1,12,1,2.5,25.772,43.064,34.387,0.03813,0.0236,23.103,0.75,25.119,35.186,0.745
BLR-01,2023,13,1,13,2,2.5,20.163,44.061,33.864,0.03082,0.02933,24.957,0.799,28.951,39.259,0.874
BLR-02,2023,13,1,13,2,2.5,29.28,50.333,26.218,0.03528,0.00663,28.364,0.874,30.976,38.751,0.664
BLR-03,2023,13,1,13,2,2.5,22.391,38.849,26.329,0.03475,0.00875,28.87,0.766,28.332,37.117,0.697
BLR-04,2023,13,1,13,1,2.5,13.652,31.835,34.879,0.03961,0.00186,21.39,0.792,21.344,25.165,0.523
BLR-05,2023,13,1,13,0,2.5,13.371,26.501,35.196,0.02231,0.02615,22.426,0.443,21.32,27.464,0.492
BLR-06,2023,13,1,13,1,2.5,12.432,38.05,28.924,0.02964,0.01947,22.099,0.745,24.203,33.847,0.693
BLR-01,2023,14,1,14,2,2.5,20.434,33.798,29.333,0.03935,0.01449,26.935,0.857,26.594,35.566,0.335
BLR-02,2023,14,1,14,2,2.5,18.909,31.811,30.907,0.02545,0.03333,30.77,0.757,30.428,39.067,0.901
BLR-03,2023,14,1,14,2,2.5,21.171,35.82,31.888,0.04416,0.0072,26.519,0.786,27.712,37.661,0.714
BLR-04,2023,14,1,14,1,2.5,17.47,35.556,33.275,0.03735,0.03971,24.576,0.752,22.491,25.237,0.45
BLR-05,2023,14,1,14,0,2.5,17.656,32.417,36.53,0.02185,0.02897,20.338,0.409,20.318,23.045,0.786
BLR-06,2023,14,1,14,1,2.5,21.507,40.585,40.267,0.02299,0.01679,25.139,0.752,23.115,33.458,0.622
BLR-01,2023,15,1,15,2,2.5,20.0,38.681,31.684,0.03707,0.00521,29.25,0.71,27.143,36.534,0.342
BLR-02,2023,15,1,15,2,2.5,21.773,41.31,33.568,0.04105,0.00918,30.421,0.821,27.888,37.034,0.522
BLR-03,2023,15,1,15,2,2.5,22.106,34.516,29.39,0.02965,0.01909,27.997,0.835,26.883,35.802,0.488
BLR-04,2023,15,1,15,1,2.5,15.311,35.715,20.645,0.02014,0.00471,23.281,0.609,24.962,25.672,0.7
BLR-05,2023,15,1,15,0,2.5,11.339,36.729,25.387,0.02231,0.01694,20.954,0.467,20.031,23.758,0.282
BLR-06,2023,15,1,15,1,2.5,12.265,32.254,29.579,0.02613,0.01015,23.65,0.733,23.754,32.914,0.105
BLR-01,2023,16,1,16,2,2.5,22.91,45.498,26.238,0.02929,0.00647,27.401,0.645,27.275,35.805,0.559
BLR-02,2023,16,1,16,2,2.5,31.249,41.344,44.33,0.02791,0.00364,31.605,0.721,26.829,32.843,0.801
BLR-03,2023,16,1,16,2,2.5,28.744,56.464,34.669,0.03542,0.02456,27.353,0.712,24.41,32.931,0.688
BLR-04,2023,16,1,16,1,2.5,14.265,36.089,30.709,0.02572,0.03216,26.742,0.576,25.711,28.43,0.586
BLR-05,2023,16,1,16,0,2.5,18.324,28.329,32.006,0.03494,0.0063,22.214,0.531,21.645,26.766,0.734
BLR-06,2023,16,1,16,1,2.5,17.814,29.437,29.334,0.0366,0.01138,25.948,0.541,25.357,33.66,0.542
BLR-01,2023,17,1,17,2,2.5,27.722,48.071,43.911,0.03314,0.01044,28.189,0.528,25.825,31.111,1.212
BLR-02,2023,17,1,17,2,2.5,34.811,59.448,32.413,0.03888,0.023,33.04,0.722,27.473,34.433,0.527
BLR-03,2023,17,1,17,2,2.5,16.554,37.117,31.522,0.02733,0.00109,30.13,0.647,25.879,36.831,0.567
BLR-04,2023,17,1,17,1,2.5,11.993,31.29,41.36,0.03664,0.00039,26.529,0.565,24.775,27.241,0.203
BLR-05,2023,17,1,17,0,2.5,20.202,36.566,27.902,0.02038,0.03577,25.616,0.574,21.389,25.067,0.472
BLR-06,2023,17,1,17,1,2.5,16.886,30.608,19.854,0.02499,0.00811,25.107,0.49,23.763,31.223,0.817
BLR-01,2023,18,2,1,2,2.5,38.716,62.473,28.942,0.02585,0.02166,24.165,0.612,26.713,31.964,0.913
BLR-02,2023,18,2,1,2,2.5,47.733,75.452,32.99,0.03061,0.03664,30.785,0.688,28.667,34.759,1.194
BLR-03,2023,18,2,1,2,2.5,36.142,53.229,33.019,0.0285,0.02745,31.353,0.614,25.382,37.539,0.939
BLR-04,2023,18,2,1,1,2.5,39.932,55.79,44.835,0.06283,0.08788,22.459,0.485,24.159,27.731,1.307
BLR-05,2023,18,2,1,0,2.5,32.235,57.613,28.17,0.0186,0.01119,25.711,0.569,23.005,28.925,0.853
BLR-06,2023,18,2,1,1,2.5,38.569,55.425,41.31,0.03918,0.00583,26.311,0.521,23.334,31.128,1.108
BLR-01,2023,19,2,2,2,2.5,47.232,70.202,32.287,0.031,0.03141,21.719,0.757,28.522,31.18,1.223
BLR-02,2023,19,2,2,2,2.5,45.665,67.002,31.661,0.03169,0.01799,27.103,0.761,33.612,41.943,0.91
BLR-03,2023,19,2,2,2,2.5,51.727,79.063,48.321,0.06671,0.09979,29.502,0.67,27.5,36.805,1.15
BLR-04,2023,19,2,2,1,2.5,42.52,57.677,32.284,0.0229,0.02527,24.119,0.699,27.709,34.738,1.148
BLR-05,2023,19,2,2,0,2.5,35.344,48.26,32.132,0.02134,0.00913,23.592,0.585,24.942,31.728,0.603
BLR-06,2023,19,2,2,1,2.5,41.71,62.275,32.115,0.02828,0.03862,25.192,0.643,26.248,34.584,0.62
BLR-01,2023,20,2,3,2,2.5,42.253,55.257,33.715,0.02628,0.00412,24.228,0.977,32.887,34.466,0.915
BLR-02,2023,20,2,3,2,2.5,47.056,59.851,40.145,0.04271,0.02619,25.623,0.858,37.479,48.064,1.336
BLR-03,2023,20,2,3,2,2.5,43.763,65.707,35.441,0.0315,0.03441,22.48,0.836,34.837,47.18,0.961
BLR-04,2023,20,2,3,1,2.5,47.111,60.297,35.829,0.03262,0.0239,21.79,0.811,33.582,39.797,0.925
BLR-05,2023,20,2,3,0,2.5,29.715,54.2,37.649,0.02232,0.01767,22.41,0.665,26.681,31.853,0.775
BLR-06,2023,20,2,3,1,2.5,34.244,44.393,39.715,0.03894,0.03688,23.967,0.772,29.475,37.831,0.946
BLR-01,2023,21,2,4,2,2.5,48.798,66.209,37.915,0.0329,0.02242,25.854,1.066,33.627,36.827,1.183
BLR-02,2023,21,2,4,2,2.5,39.079,62.841,38.038,0.04115,0.0364,24.482,0.992,40.909,50.78,0.621
BLR-03,2023,21,2,4,2,2.5,45.305,60.518,34.803,0.03735,0.02548,22.549,0.904,37.486,46.806,1.037
BLR-04,2023,21,2,4,1,2.5,34.244,46.085,36.791,0.06618,0.11514,23.216,0.896,36.13,40.898,1.274
BLR-05,2023,21,2,4,0,2.5,40.697,64.943,35.75,0.03187,0.01321,22.335,0.676,29.881,39.209,0.832
